movie_id,movie,region,language,release_year,duration_in_min,genres,numvotes,primaryname,role,birthyear,deathyear,primaryprofession,rating
10019,Jinx,US,,1919,50,"Action,Adventure,Comedy",16,Mabel Normand,actress,1892,1930,"actress,director,writer",5.5
10020,"My Wife, the Movie Star",XWW,en,1918,,Comedy,6,Ossi Oswalda,actress,1897,1947,"actress,producer,writer",5.8
10021,The Amateur Gentleman,GB,,1920,,Adventure,8,Langhorn Burton,actor,1880,1949,actor,4
10022,The Copperhead,US,,1920,70,Drama,10,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.8
10023,The Luck of the Irish,US,,1920,70,Drama,11,James Kirkwood,actor,1876,1963,"actor,director,writer",2.8
10024,Rosa Alvaro,US,,1920,54,"Comedy,Romance",79,Mabel Normand,actress,1892,1930,"actress,director,writer",6.7
10025,The Blot,US,,1921,91,"Drama,Romance",491,Philip Hubbard,actor,1873,1931,"writer,actor",6.8
10026,Innocent,GB,,1921,60,"Drama,Romance",11,Madge Stuart,actress,1895,1958,actress,6.9
10027,Le cirque Jim,FR,,1921,85,"Drama,Romance",9,Evelyn Brent,actress,1899,1975,actress,5.9
10028,Rêve de seize ans,FR,,1921,80,Comedy,43,Mabel Normand,actress,1892,1930,"actress,director,writer",6.5
10029,Un fier gueux,FR,,1922,,"Action,Adventure,Crime",10,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",1.1
10030,Head Over Heels,US,,1922,50,Comedy,12,Mabel Normand,actress,1892,1930,"actress,director,writer",6.2
10031,Call of the Wild,GB,,1923,,Adventure,22,Jack Mulhall,actor,1887,1979,"actor,producer",6.5
10032,Enemies of Women,GB,,1923,105,"Drama,Romance",18,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",4.7
10033,Millie of the Movies,US,,1923,68,"Comedy,Romance",1062,Mabel Normand,actress,1892,1930,"actress,director,writer",6.6
10034,The Social Buccaneer,US,,1923,,"Adventure,Crime,Romance",7,Jack Mulhall,actor,1887,1979,"actor,producer",6
10035,Venciendo abismos,ES,,1923,50,Western,28,Tom Mix,actor,1880,1940,"actor,director,writer",4.4
10036,Sombras en la noche,ES,,1924,64,"Comedy,Drama,Mystery",20,James Kirkwood,actor,1876,1963,"actor,director,writer",6.8
10037,The Rainbow Trail,US,,1925,,Western,12,Tom Mix,actor,1880,1940,"actor,director,writer",7
10038,Riders of the Purple Sage,GB,,1925,56,"Action,Drama,Western",166,Tom Mix,actor,1880,1940,"actor,director,writer",6.4
10039,Una extraña aventura de Luis Candelas,ES,,1926,,Adventure,10,Manuel Soriano,actor,,,"actor,writer,sound_department",7.2
10040,Docteur Frakass,FR,,1926,60,"Comedy,Western",9,Tom Mix,actor,1880,1940,"actor,director,writer",7.4
10041,The Masquerade Bandit,US,,1926,,"Action,Adventure,Romance",11,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.7
10042,Raggedy Rose,US,,1926,56,"Comedy,Romance",66,Mabel Normand,actress,1892,1930,"actress,director,writer",7
10043,Tom and His Pals,US,,1926,54,"Action,Adventure,Romance",11,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",4.8
10044,Tony lindompté,FR,,1926,67,"Action,Adventure,Romance",10,Tom Mix,actor,1880,1940,"actor,director,writer",6
10045,The Volga Boatman,US,,1926,120,"Drama,Romance",120,William Boyd,actor,1895,1972,"actor,producer,director",6.6
10046,Face Value,US,,1927,50,"Drama,Romance",7,Fritzi Ridgeway,actress,1898,1961,actress,6.7
10047,La campana de alarma,ES,,1927,60,"Action,Drama,Romance",8,Dolores Costello,actress,1903,1979,"actress,soundtrack",4.9
10048,Million Dollar Mystery,US,,1927,,Mystery,5,James Kirkwood,actor,1876,1963,"actor,director,writer",7
10049,Thirteen Washington Square,US,,1928,60,"Comedy,Crime,Romance",12,Jean Hersholt,actor,1886,1956,"actor,director,soundtrack",6
10050,Hara-Kiri,FR,,1928,,Drama,11,Marie-Louise Iribe,actress,1894,1934,"actress,director,writer",6.4
10051,La mujer del leopardo,ES,,1928,70,Drama,11,Jacqueline Logan,actress,1901,1983,"actress,director,writer",5.3
10052,La marche nuptiale,FR,,1929,,Comedy,7,Pierre Blanchar,actor,1892,1963,"actor,director",6.7
10053,Sadie Thompson,GB,,1928,97,Drama,2465,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",7.2
10054,The Texas Tornado,US,,1928,55,Western,10,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",6.7
10055,Tyrant of Red Gulch,US,,1928,50,"Action,Adventure,Drama",11,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",1.7
10056,Captain Fracasse,XWW,en,1929,92,"Adventure,Drama",163,Pierre Blanchar,actor,1892,1963,"actor,director",6.8
10057,Poupée de luxe,FR,,1929,70,"Comedy,Romance",23,Dolores Costello,actress,1903,1979,"actress,soundtrack",4.7
10058,The Fiery Furnace,US,,1928,113,Drama,677,Lina Basquette,actress,1907,1994,actress,7.2
10059,A Swift Lover,GB,,1929,55,"Action,Adventure,Romance",12,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.8
10060,His First Command,US,,1929,65,"Action,Adventure,Comedy",24,William Boyd,actor,1895,1972,"actor,producer,director",5.8
10061,The Lone Horseman,US,,1929,47,"Action,Adventure,Romance",10,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",6.7
10062,Madonna of Avenue A,US,,1929,71,Drama,23,Dolores Costello,actress,1903,1979,"actress,soundtrack",5
10063,Ships of the Night,US,,1928,62,Adventure,18,Jacqueline Logan,actress,1901,1983,"actress,director,writer",6.8
10064,Smooth as Satin,US,,1930,66,Crime,79,Bebe Daniels,actress,1901,1971,"actress,writer,soundtrack",6.3
10065,The Climax,US,,1930,65,Thriller,7,Jean Hersholt,actor,1886,1956,"actor,director,soundtrack",5.9
10066,Trust Your Wife,IE,en,1930,66,"Comedy,Crime,Drama",149,Jack Mulhall,actor,1887,1979,"actor,producer",5.3
10067,Juego limpio,ES,,1930,78,Drama,37,Jean Hersholt,actor,1886,1956,"actor,director,soundtrack",6.6
10068,The Phantom of the West,US,,1931,172,"Romance,Western",42,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",6.1
10069,Slightly Scarlet,US,,1930,70,"Comedy,Crime,Drama",21,Evelyn Brent,actress,1899,1975,actress,5.4
10070,The Big Gamble,US,,1931,65,"Crime,Drama,Romance",104,William Boyd,actor,1895,1972,"actor,producer,director",5.7
10071,Night Beat,US,,1931,61,"Crime,Drama",38,Jack Mulhall,actor,1887,1979,"actor,producer",5.7
10072,The Pagan Lady,US,,1931,80,"Adventure,Drama,Romance",29,Evelyn Brent,actress,1899,1975,actress,5.4
10073,The Greater Love,GB,,1931,57,"Action,Drama,Western",11,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",6
10074,Traveling Husbands,US,,1931,73,"Comedy,Crime",69,Evelyn Brent,actress,1899,1975,actress,6.1
10075,West of Cheyenne,US,,1931,56,Western,12,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.7
10076,Windjammer,GB,,1930,75,Adventure,11,Tony Bruce,actor,1909,1937,actor,6.5
10077,The Arm of the Law,US,,1932,60,"Action,Adventure,Comedy",13,Rex Bell,actor,1903,1962,actor,5.5
10078,The Black Ghost,US,,1932,70,Western,8,Lon Chaney Jr.,archive_footage,1906,1973,"actor,soundtrack",5.9
10079,Wooden Crosses,US,,1932,115,"Drama,War",1158,Pierre Blanchar,actor,1892,1963,"actor,director",7.7
10080,Diamond Trail,US,,1933,61,"Action,Adventure,Drama",32,Rex Bell,actor,1903,1962,actor,5.6
10081,Fatal Alarm,US,,1932,63,"Action,Adventure,Drama",32,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.5
10082,Love Bound,US,,1932,60,"Drama,Mystery",94,Jack Mulhall,actor,1887,1979,"actor,producer",5.3
10083,Single Handed Saunders,US,,1932,61,Western,16,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.6
10084,Its Being Done,US,,1932,60,Drama,6,June Clyde,actress,1909,1987,"actress,soundtrack",3.3
10085,Cocktail Hour,US,,1933,73,"Crime,Drama,Romance",64,Bebe Daniels,actress,1901,1971,"actress,writer,soundtrack",6.4
10086,Crashin Broadway,US,,1932,59,"Action,Comedy,Drama",14,Rex Bell,actor,1903,1962,actor,3.9
10087,Dangerous Crossroads,US,,1933,62,"Action,Adventure,Crime",10,Jackie Searl,actor,1921,1991,"actor,soundtrack",5.3
10088,Deadwood Pass,US,,1933,62,Western,35,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.3
10089,Le caprice,FR,,1933,100,Drama,1189,Takeshi Sakamoto,actor,1899,1974,actor,7.4
10090,El agresor invisible,ES,,1933,65,"Action,Crime,Drama",116,William Boyd,actor,1895,1972,"actor,producer,director",6.1
10091,Fighting with Kit Carson,US,,1933,250,"Action,Adventure,Drama",54,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.3
10092,Flaming Gold,US,,1932,53,"Action,Drama",67,William Boyd,actor,1895,1972,"actor,producer,director",5.7
10093,Águilas rivales,ES,,1933,62,"Action,Adventure,Drama",79,Arline Judge,actress,1912,1974,"actress,soundtrack",6
10094,Her Splendid Folly,US,,1933,60,"Adventure,Comedy,Drama",9,Lilian Bond,actress,1908,1991,"actress,soundtrack",5
10095,The Important Witness,US,,1933,60,"Action,Adventure,Comedy",14,Noel Francis,actress,1906,1959,"actress,soundtrack",5.9
10096,El viajero solitario,ES,,1933,72,Drama,437,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.8
10097,The Goose Woman,US,,1933,70,"Crime,Drama,Romance",16,Helen MacKellar,actress,1895,1966,actress,6.7
10098,The Phantom of the Air,GB,,1933,240,"Action,Adventure",29,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",6.2
10099,Vice Raid,US,,1933,70,"Crime,Drama",20,Noel Francis,actress,1906,1959,"actress,soundtrack",4
10100,Secret Sinners,US,,1933,70,"Drama,Romance",13,Jack Mulhall,actor,1887,1979,"actor,producer",4.8
10101,The Song You Gave Me,GB,,1933,86,"Drama,Romance",34,Bebe Daniels,actress,1901,1971,"actress,writer,soundtrack",7.1
10102,Love Wins Again,US,,1934,83,"Drama,Musical,Romance",11,Bebe Daniels,actress,1901,1971,"actress,writer,soundtrack",7.3
10103,When a Man Rides Alone,US,,1933,60,"Action,Romance,Western",40,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.3
10104,La marcha de los soldaditos de madera,ES,,1934,77,"Comedy,Family,Fantasy",5838,Stan Laurel,actor,1890,1965,"actor,writer,soundtrack",7.2
10105,Cheaters,US,,1934,65,"Adventure,Crime,Drama",16,William Boyd,actor,1895,1972,"actor,producer,director",6.6
10106,The Dancing Fool,GB,,1934,66,"Comedy,Musical,Romance",78,Hal Le Roy,actor,1913,1985,"actor,soundtrack",6.5
10107,Hollywood Hoodlum,US,,1934,53,"Action,Drama",41,June Clyde,actress,1909,1987,"actress,soundtrack",4.9
10108,El hombre que volvió por su cabeza,ES,,1934,80,Drama,125,Claude Rains,actor,1889,1967,"actor,soundtrack",7.1
10109,Million Dollar Baby,US,,1934,65,"Comedy,Drama,Music",17,Arline Judge,actress,1912,1974,"actress,soundtrack",6.4
10110,Mystery Ranch,US,,1934,56,"Action,Adventure,Comedy",57,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",4.9
10111,Ridin Thru,US,,1934,55,"Action,Adventure,Romance",14,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",3.1
10112,Sensation Hunters,US,,1933,73,Drama,135,Arline Judge,actress,1912,1974,"actress,soundtrack",5.9
10113,The Family Scandal,US,,1934,77,"Drama,Romance",239,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.5
10114,Histoire dun acteur ambulant,FR,,1934,86,Drama,2737,Takeshi Sakamoto,actor,1899,1974,actor,
10115,Frontier,US,,1935,82,Drama,345,Stepan Shagaida,actor,1896,1937,actor,6.1
10116,Born to Battle,US,,1935,63,"Action,Adventure,Romance",48,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",4.9
10117,Code of the Mounted,US,,1935,60,"Action,Adventure,Romance",36,Kermit Maynard,actor,1897,1971,"actor,stunts,soundtrack",5.2
10118,Fighting Pioneers,US,,1935,54,"Action,Adventure,Western",13,Rex Bell,actor,1903,1962,actor,6.5
10119,Gunfire,US,,1934,56,Western,11,Rex Bell,actor,1903,1962,actor,6.1
10120,Lady Beware,US,,1934,55,Drama,25,Helen MacKellar,actress,1895,1966,actress,5
10121,Hop-a-Long Cassidy,GB,,1935,60,"Action,Adventure,Drama",263,William Boyd,actor,1895,1972,"actor,producer,director",6.9
10122,The Laramie Kid,US,,1935,57,"Action,Adventure,Crime",48,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.5
10123,Port of Lost Dreams,US,,1934,71,"Crime,Drama,Romance",43,William Boyd,actor,1895,1972,"actor,producer,director",5.9
10124,The Red Blood of Courage,US,,1935,55,Western,58,Kermit Maynard,actor,1897,1971,"actor,stunts,soundtrack",4.8
10125,The Return of Peter Grimm,US,,1935,83,"Comedy,Drama,Fantasy",193,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.3
10126,Silent Valley,US,,1935,60,Western,12,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.8
10127,Symphony of Living,US,,1935,75,Drama,42,Evelyn Brent,actress,1899,1975,actress,6.6
10128,Un alberg a Tòquio,ES,ca,1935,80,Drama,1197,Takeshi Sakamoto,actor,1899,1974,actor,7.7
10129,Wilderness Mail,US,,1935,65,Western,13,Kermit Maynard,actor,1897,1971,"actor,stunts,soundtrack",6.6
10130,La bohémienne,BE,fr,1936,71,"Comedy,Musical",1744,Stan Laurel,actor,1890,1965,"actor,writer,soundtrack",6.8
10131,The Clutching Hand,US,,1936,305,"Action,Crime,Mystery",80,Jack Mulhall,actor,1887,1979,"actor,producer",5.4
10132,Everymans Law,US,,1936,62,Western,8,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",7.2
10133,Fast Bullets,US,,1936,58,Western,77,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.2
10134,Trouble Makers,US,,1936,63,Comedy,34,Brian Donlevy,actor,1901,1972,"actor,producer,soundtrack",5.5
10135,Idaho Kid,US,,1936,59,"Action,Adventure,Romance",39,Rex Bell,actor,1903,1962,actor,6.4
10136,The Irish Gringo,US,,1935,54,"Music,Western",22,Pat Carlyle,actor,1900,,"actor,director,writer",2.8
10137,Law and Lead,GB,,1936,57,"Action,Adventure,Western",39,Rex Bell,actor,1903,1962,actor,4.8
10138,"Salónica, nido de espías",ES,,1937,116,"Drama,Romance,Thriller",101,Pierre Blanchar,actor,1892,1963,"actor,director",6.9
10139,Men of the Plains,US,,1936,62,"Action,Adventure,Romance",25,Rex Bell,actor,1903,1962,actor,5.2
10140,Pinto Rustlers,US,,1936,56,Western,10,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",4.8
10141,Ridin On,US,,1936,56,Western,16,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",4.9
10142,Roamin Wild,US,,1936,58,Western,44,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.5
10143,Saddle Aces,US,,1935,56,Western,14,Rex Bell,actor,1903,1962,actor,5.6
10144,Three on the Trail,US,,1936,67,"Action,Drama,Western",135,William Boyd,actor,1895,1972,"actor,producer,director",6.9
10145,Too Much Beef,US,,1936,60,"Adventure,Romance,Western",23,Rex Bell,actor,1903,1962,actor,5.7
10146,El valle siniestro,ES,,1936,56,"Action,Adventure,Drama",20,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.8
10147,The Villiers Diamond,GB,,1938,50,"Crime,Drama,Mystery",25,Edward Ashley,actor,1904,2000,actor,5.8
10148,La voz irresistible,ES,,1936,72,Drama,198,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.8
10149,Wildcat Trooper,US,,1936,60,"Action,Adventure,Western",38,Kermit Maynard,actor,1897,1971,"actor,stunts,soundtrack",4.8
10150,Bar-Z Bad Men,US,,1937,57,"Romance,Western",42,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.6
10151,Boot Hill Brigade,US,,1937,56,"Action,Adventure,Romance",61,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5
10152,Honor de familia,ES,,1937,69,Comedy,546,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.8
10153,The Feud of the Trail,US,,1937,56,Western,39,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.6
10154,The Gambling Terror,US,,1937,53,"Action,Adventure,Drama",45,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.6
10155,Guns in the Dark,GB,,1937,56,Western,39,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.7
10156,The Divine Jetta,US,,1937,97,"Comedy,Musical,Romance",21,Grethe Weiser,actress,1903,1970,"actress,soundtrack",6.7
10157,A Lawman Is Born,US,,1937,58,Western,54,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.8
10158,Lost Ranch,US,,1937,56,"Comedy,Western",34,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",5.6
10159,Midnight Taxi,US,,1937,73,"Crime,Drama",39,Brian Donlevy,actor,1901,1972,"actor,producer,soundtrack",6.2
10160,Crime Afloat,US,,1937,67,"Drama,Romance,Sport",6,William Bakewell,actor,1908,1993,"actor,soundtrack",6.2
10161,Mystery Range,US,,1937,55,"Action,Adventure,Western",16,Tom Tyler,actor,1903,1954,"actor,soundtrack,stunts",6.3
10162,Rough Riding Rhythm,US,,1937,57,"Action,Drama,Music",10,Kermit Maynard,actor,1897,1971,"actor,stunts,soundtrack",6.7
10163,Texas Trail,US,,1937,58,"Action,Adventure,Romance",145,William Boyd,actor,1895,1972,"actor,producer,director",6.7
10164,Whistling Bullets,US,,1937,57,"Action,Drama,Western",35,Kermit Maynard,actor,1897,1971,"actor,stunts,soundtrack",5.8
10165,The Higgins Family,US,,1938,54,Comedy,9,James Gleason,actor,1882,1959,"actor,writer,director",7
10166,The Return of Carol Deane,GB,,1938,76,"Crime,Drama",6,Bebe Daniels,actress,1901,1971,"actress,writer,soundtrack",7.7
10167,Sharpshooters,GB,,1938,65,"Action,Adventure,Comedy",14,Brian Donlevy,actor,1901,1972,"actor,producer,soundtrack",3.8
10168,His Lordship Goes to Press,GB,,1938,80,Comedy,13,June Clyde,actress,1909,1987,"actress,soundtrack",5.8
10169,Laugh It Off,US,,1939,63,Musical,19,Johnny Downs,actor,1913,1994,"actor,soundtrack",5.7
10170,Une nuit de septembre,FR,,1939,,Drama,13,Emanuel Apkhaidze,actor,1899,1970,actor,6.2
10171,Renegade Trail,US,,1939,58,"Music,Western",109,William Boyd,actor,1895,1972,"actor,producer,director",7
10172,Should Husbands Work?,US,,1939,71,"Adventure,Comedy,Romance",8,James Gleason,actor,1882,1959,"actor,writer,director",7.6
10173,Trunk Crime,GB,,1939,60,"Drama,Mystery,Thriller",36,Manning Whiley,actor,1915,1975,"actor,producer",6.1
10174,Weddings Are Wonderful,GB,,1938,79,Comedy,15,June Clyde,actress,1909,1987,"actress,soundtrack",5.6
10175,Les as dOxford,FR,,1939,62,Comedy,3385,Stan Laurel,actor,1890,1965,"actor,writer,soundtrack",7.4
10176,The Courageous Dr. Christian,GB,,1940,67,Drama,59,Jean Hersholt,actor,1886,1956,"actor,director,soundtrack",6.1
10177,Diamond Queen: Diamond Thriller No.7,IN,en,1940,155,"Action,Adventure",30,Fearless Nadia,actress,1908,1996,"actress,stunts,writer",6.2
10178,Hidden Gold,US,,1940,60,"Adventure,Comedy,Western",150,William Boyd,actor,1895,1972,"actor,producer,director",6.7
10179,Lucky Ralston,GB,,1940,57,"Action,Drama,Music",25,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.1
10180,Pony Post,GB,,1940,59,Western,35,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.3
10181,Ragtime Cowboy Joe,US,,1940,68,"Adventure,Comedy,Drama",23,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.9
10182,Jitterbugs,US,,1940,56,Comedy,2391,Stan Laurel,actor,1890,1965,"actor,writer,soundtrack",7.2
10183,Trois hommes du Texas,FR,,1940,76,Western,166,William Boyd,actor,1895,1972,"actor,producer,director",7
10184,Sublime perdón,ES,,1940,130,Drama,5,Pierre Blanchar,actor,1892,1963,"actor,director",6.8
10185,The Glory Road,US,,1941,57,"Drama,Fantasy",463,Cathryn Caviness,actress,1914,1993,actress,5.4
10186,Boss of Bullion City,US,,1940,61,"Action,Comedy,Music",34,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.5
10187,Bury Me Not on the Lone Prairie,US,,1941,61,"Action,Comedy,Music",54,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.5
10188,Two Shy Ones,XWW,en,1943,83,Comedy,5,Pierre Brasseur,actor,1905,1972,"actor,writer,miscellaneous",6.8
10189,Fighting Bill Fargo,US,,1941,57,"Action,Adventure,Music",19,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.7
10190,In Old Colorado,US,,1941,66,"Action,Adventure,Western",136,William Boyd,actor,1895,1972,"actor,producer,director",7
10191,Law of the Range,US,,1941,59,"Music,Western",20,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.8
10192,Rawhide Rangers,US,,1941,56,Western,40,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.3
10193,Riders of the Timberlane,US,,1941,59,"Action,Adventure,Western",124,William Boyd,actor,1895,1972,"actor,producer,director",6.6
10194,Ghosts of Rimrock,US,,1941,66,"Action,Adventure,Western",122,William Boyd,actor,1895,1972,"actor,producer,director",7
10195,Stick to Your Guns,US,,1941,63,"Action,Adventure,Romance",122,William Boyd,actor,1895,1972,"actor,producer,director",7
10196,Twilight on the Trail,GB,,1941,57,Western,92,William Boyd,actor,1895,1972,"actor,producer,director",6.7
10197,Terreur sur la ville,FR,,1941,79,Western,145,William Boyd,actor,1895,1972,"actor,producer,director",6.8
10198,The Wolf Man,GB,,1941,70,Horror,22632,Claude Rains,actor,1889,1967,"actor,soundtrack",7.3
10199,Boss of Hangtown Mesa,US,,1942,58,"Action,Comedy,Drama",36,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.2
10200,Dr. Kildares Triple X,US,,1942,84,"Crime,Drama,Thriller",299,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.3
10201,Dr. Gillespies New Assistant,US,,1942,87,"Comedy,Drama,Mystery",153,Lionel Barrymore,actor,1878,1954,"actor,director,soundtrack",6.2
10202,Freckles Comes Home,US,,1942,63,"Action,Comedy,Crime",124,Johnny Downs,actor,1913,1994,"actor,soundtrack",4.9
10203,The Red Terror,US,,1942,99,Action,44,Laura Solari,actress,1913,1984,actress,6.8
10204,"Little Joe, the Wrangler",US,,1942,60,"Action,Adventure,Music",36,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.1
10205,Stagecoach Buckaroo,ES,,1942,58,"Action,Music,Western",61,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.8
10206,Variety Jubilee,GB,,1943,92,Musical,34,Reginald Purdell,actor,1895,1953,"actor,writer,director",6
10207,When Johnny Comes Marching Home,US,,1942,74,"Comedy,Musical",47,Allan Jones,actor,1907,1992,"actor,soundtrack",6.9
10208,Adventurer,XWW,en,1942,116,"Adventure,History",10,Sture Lagerwall,actor,1908,1964,"actor,soundtrack,director",5.2
10209,Action Stations,CA,,1943,45,Documentary,11,Joris Ivens,director,1898,1989,"director,writer,cinematographer",5.4
10210,Les aventures de quatre élèves pilotes,FR,,1943,242,Adventure,64,Johnny Downs,actor,1913,1994,"actor,soundtrack",6.3
10211,Laurel et Hardy chefs dîlots,FR,,1943,67,"Action,Adventure,Comedy",921,Stan Laurel,actor,1890,1965,"actor,writer,soundtrack",6.3
10212,Campus Rhythm,US,,1943,63,"Comedy,Music,Romance",102,Johnny Downs,actor,1913,1994,"actor,soundtrack",5.5
10213,Cheyenne Roundup,US,,1943,59,"Action,Adventure,Music",56,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.9
10214,Colt Comrades,US,,1943,67,"Action,Adventure,Western",167,William Boyd,actor,1895,1972,"actor,producer,director",6.7
10215,False Colors,US,,1943,65,Western,148,William Boyd,actor,1895,1972,"actor,producer,director",6.8
10216,Femmes en mission,FR,,1943,92,"Comedy,Drama,Romance",378,Joan Gates,actress,1920,,actress,6.2
10217,Hoppy Serves a Writ,GB,,1943,67,"Action,Adventure,Western",177,William Boyd,actor,1895,1972,"actor,producer,director",6.9
10218,Jitterbugs,US,,1943,75,"Comedy,Musical",957,Stan Laurel,actor,1890,1965,"actor,writer,soundtrack",6.5
10219,Larceny with Music,US,,1943,64,"Comedy,Music",15,Allan Jones,actor,1907,1992,"actor,soundtrack",6.8
10220,The Lone Star Trail,US,,1943,58,"Comedy,Drama,Music",97,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",5.7
10221,Misterio en la marisma,ES,,1943,84,Mystery,19,Conchita Montes,actress,1914,1994,"actress,writer",4.9
10222,The Old Chisholm Trail,US,,1942,61,"Action,Music,Western",83,Johnny Mack Brown,actor,1904,1974,"actor,soundtrack",6.1
